x,y,Record_ID,Name,Address,Additonal_Address,City,State,ZIP,Zip4,County,Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-9430539.867,3988495.27177693,282616,KROGER  485,3875 Chapel Hill Rd,# 486,Douglasville,GA,30135,7287,DOUGLAS,Super Store,33.699291,-84.715981,,,11171
-9410023.24,4021109.55519201,317258,Food Depot 27,681 S Marietta Pkwy SE,,Marietta,GA,30060,2748,COBB,Supermarket,33.942692,-84.531677,,,11395
-9407936.556,4012789.48472366,317992,CVS Pharmacy 4740,2994 Atlanta Rd SE,,Smyrna,GA,30080,3655,COBB,Other,33.880665,-84.512932,,,11454
-9362178.79,3999973.7388294,318032,QUIKTRIP 722,7225 Rockbridge Rd,,Lithonia,GA,30058,5918,DEKALB,Convenience Store,33.785034,-84.101883,,,11458
-9380152.547,4004947.249243,318035,CVS Pharmacy 2504,2586 Lawrenceville Hwy,,Decatur,GA,30033,3229,DEKALB,Other,33.822159,-84.263344,,,11459
-9392238.949,4002114.79664175,257567,KROGER  298,1700 Monroe Dr NE,,Atlanta,GA,30324,5033,FULTON,Super Store,33.801018,-84.371918,,,11504
-9348212.09,3978298.59532307,257038,INGLES MARKETS  469,2455 Salem Rd SE,,Conyers,GA,30013,6316,ROCKDALE,Supermarket,33.623051,-83.976418,,,11631
-9373178.937,4015245.42653415,344050,Carniceria Y Tienda La Confianza 1,5119 Jimmy Carter Blvd,Ste C,Norcross,GA,30093,1636,GWINNETT,Other,33.898979,-84.200699,,,11784
-9351340.057,3982491.72730511,342888,QUIKTRIP 770,1395 Highway 138 SE,,Conyers,GA,30013,    ,ROCKDALE,Convenience Store,33.654411,-84.004517,,,11848
-9400001.48,3985292.85768849,256014,CVS Pharmacy 4424,2907 Main St,,Atlanta,GA,30344,4203,FULTON,Other,33.675354,-84.44165,,,11939
-9372744.123,4000220.58840927,343051,INGLES MARKETS 421,4815 Rockbridge Rd,,Stone Mountain,GA,30083,4250,DEKALB,Supermarket,33.786877,-84.196793,,,11941
-9393992.676,4004672.29340959,301179,PUBLIX  0719,2365 Peachtree Rd NE,,Atlanta,GA,30305,4147,FULTON,Supermarket,33.820107,-84.387672,,,12005
-9358422.314,4028821.49610836,301847,PUBLIX  0863,1030 Old Peachtree Rd NW,,Lawrenceville,GA,30043,3308,GWINNETT,Supermarket,34.000145,-84.068138,,,12067
-9432890.712,3992536.98911062,302047,QUIKTRIP 758,2786 Chapel Hill Rd,,Douglasville,GA,30135,1704,DOUGLAS,Convenience Store,33.729492,-84.737099,,,12088
-9362176.23,4000097.36386375,319437,PUBLIX  494,380 N Deshong Rd,,Stone Mountain,GA,30087,4797,DEKALB,Supermarket,33.785957,-84.10186,,,12345
-9371307.879,4016493.31246653,396722,DOLLAR GENERAL  8947,5610 Singleton Rd,,Norcross,GA,30093,2207,GWINNETT,Other,33.908283,-84.183891,,,12481
-9390767.973,4008888.33799764,337127,PUBLIX 664,3535 Peachtree Rd NE,,Atlanta,GA,30326,3287,FULTON,Supermarket,33.851566,-84.358704,,,12642
-9386967.303,4014115.82091741,299301,CVS Pharmacy 2083,3439 Ashford Dunwoody Rd NE,,Atlanta,GA,30319,2546,DEKALB,Other,33.890556,-84.324562,,,12753
-9411681.121,4040261.49097932,337503,TARGET STORE T-1780,140 Woodstock Square Ave,,Woodstock,GA,30189,6500,CHEROKEE,Super Store,34.0853,-84.54657,,,12836
-9417765.51,4035272.72174283,336435,KROGER 446,3895 CHEROKEE ST NW,,KENNESAW,GA,30144,    ,COBB,Super Store,34.048176,-84.601227,,,12861
-9383433.355,3973761.81103721,1590342,Gk Grocery Store,6080 Highway 42,Ste 104,Rex,GA,30273,1274,CLAYTON,Convenience Store,33.589108,-84.292816,,,12907
-9373984.89,4038112.33254439,266302,KROGER STORE  469,11877 Douglas Rd,,Alpharetta,GA,30005,    ,FULTON,Super Store,34.069309,-84.207939,,,13109
-9420448.421,4021872.2888036,326536,PUBLIX  561,2500 Dallas Hwy SW,Ste 300,Marietta,GA,30064,2571,COBB,Supermarket,33.948376,-84.625328,,,13175
-9351754.499,4024085.49762467,326540,CVS Pharmacy 4737,620 W Pike St,,Lawrenceville,GA,30045,7699,GWINNETT,Other,33.964867,-84.00824,,,13177
-9378102.264,3961973.28816538,326829,KROGER  493,1750 Hudson Bridge Rd,,Stockbridge,GA,30281,6331,HENRY,Super Store,33.500847,-84.244926,,,13202
-9404844.212,4040727.09913383,323934,Walgreens 17077,12075 Highway 92,,Woodstock,GA,30188,4499,CHEROKEE,Other,34.088764,-84.485153,,,13383
-9389356.442,4033903.89336006,322935,KROGER  431,570 E Crossville Rd,,Roswell,GA,30075,3034,FULTON,Super Store,34.037987,-84.346024,,,13434
-9390004.433,4017926.59113431,454931,Walgreens 11796,1100 Hammond Dr NE,,Atlanta,GA,30328,8198,FULTON,Other,33.918968,-84.351845,,,13511
-9389979.831,4004469.29662564,455302,CVS PHARMACY 2186,2350 CHESHIRE BRIDGE RD,,ATLANTA,GA,30324,    ,FULTON,Other,33.818592,-84.351624,,,13540
-9403809.831,4013190.54742025,325399,QUIKTRIP 732,2671 Spring Rd SE,,Smyrna,GA,30080,3042,COBB,Convenience Store,33.883656,-84.475861,,,13609
